policy,budget,accepted_recall_mean,accepted_recall_sd,dissent_recall_mean,dissent_recall_sd,worst_topic_recall_mean
random,0.05,0.049882283580622966,0.0017068746606326054,0.05005853658536586,0.0032342824530825487,0.017957397316231215
random,0.1,0.09988405227473716,0.002288395568053418,0.09995853658536585,0.005048890065972404,0.0530385644532861
random,0.2,0.19991864007074775,0.0033279823921119832,0.19915487804878051,0.006427245902170851,0.13750194367597435
random,0.4,0.40054632995971307,0.003941507435807317,0.399890243902439,0.008740882902109358,0.32065343241089944
random,0.6,0.5999320035373882,0.003880912805860995,0.600048780487805,0.00750663002609041,0.5193820449091061
random,0.8,0.7997453080475582,0.0034863612141652635,0.7997341463414634,0.0067291193328574495,0.7326038305878833
random,1.0,1.0,0.0,1.0,0.0,1.0
post_review_raw_score_DIAGNOSTIC_ONLY,0.05,0.16045986046968655,,0.00975609756097561,,0.013333333333333334
post_review_raw_score_DIAGNOSTIC_ONLY,0.1,0.31689102879040976,,0.029878048780487804,,0.05063291139240506
post_review_raw_score_DIAGNOSTIC_ONLY,0.2,0.6084307752775867,,0.1,,0.11304347826086956
post_review_raw_score_DIAGNOSTIC_ONLY,0.4,0.9414365726638498,,0.361890243902439,,0.2579185520361991
post_review_raw_score_DIAGNOSTIC_ONLY,0.6,0.9941043529527366,,0.6387195121951219,,0.4298642533936652
post_review_raw_score_DIAGNOSTIC_ONLY,0.8,0.9994104352952736,,0.849390243902439,,0.6289592760180995
post_review_raw_score_DIAGNOSTIC_ONLY,1.0,1.0,,1.0,,1.0
post_review_topic_normalized_score_DIAGNOSTIC_ONLY,0.05,0.1589859487078707,,0.007317073170731708,,0.02185792349726776
post_review_topic_normalized_score_DIAGNOSTIC_ONLY,0.1,0.3140414660508991,,0.026829268292682926,,0.056074766355140186
post_review_topic_normalized_score_DIAGNOSTIC_ONLY,0.2,0.6017490419573548,,0.09969512195121952,,0.1652542372881356
post_review_topic_normalized_score_DIAGNOSTIC_ONLY,0.4,0.9358357079689495,,0.3722560975609756,,0.36
post_review_topic_normalized_score_DIAGNOSTIC_ONLY,0.6,0.9934165274638892,,0.6737804878048781,,0.5478260869565217
post_review_topic_normalized_score_DIAGNOSTIC_ONLY,0.8,0.9993121745111526,,0.9051829268292683,,0.7619047619047619
post_review_topic_normalized_score_DIAGNOSTIC_ONLY,1.0,1.0,,1.0,,1.0
