year,topic,papers,decisions,acceptance_rate,reviewed,mean_score,mean_disagreement,high_disagreement_rate
2020,CNNs,52,52,0.09615384615384616,50,3.463333333333333,1.0052478749883127,0.1346153846153846
2020,GANs,75,75,0.18666666666666668,75,3.8366666666666664,1.097113678268053,0.28
2020,LLMs,39,39,0.2564102564102564,37,4.34009009009009,1.1642071558601024,0.23076923076923078
2020,RL,187,187,0.29411764705882354,184,4.376992753623188,1.1860159959165417,0.24598930481283424
2020,RNNs,47,47,0.2127659574468085,46,3.851449275362319,1.0046401459360326,0.1702127659574468
2020,active learning,9,9,0.1111111111111111,9,4.092592592592593,1.1223082820298143,0.2222222222222222
2020,adversarial,141,141,0.2978723404255319,138,4.186594202898551,1.140547901701485,0.20567375886524822
2020,alignment,1,1,0.0,1,3.3333333333333335,2.0548046676563256,1.0
2020,anomaly detection,12,12,0.25,12,4.25,0.9616738368245746,0.16666666666666666
2020,autoencoders,60,60,0.2,60,4.05,1.0866731274700179,0.15
2020,autonomous driving,4,4,0.5,4,4.333333333333333,0.23570226039551584,0.0
2020,causality,8,8,0.625,8,5.895833333333333,1.5740096675223645,0.5
2020,clustering,9,9,0.3333333333333333,9,4.287037037037037,0.8856452039818957,0.1111111111111111
2020,code generation,11,11,0.36363636363636365,11,4.454545454545454,1.7724338124476815,0.6363636363636364
2020,compression,29,29,0.1724137931034483,28,3.9702380952380953,1.012550294647073,0.13793103448275862
2020,continual learning,31,31,0.3225806451612903,31,4.479569892473118,1.1721319418203024,0.25806451612903225
2020,diffusion models,1,1,0.0,1,2.3333333333333335,0.9428090415820634,0.0
2020,explainability,10,10,0.3,10,4.7333333333333325,1.4124597435954076,0.4
2020,fairness,3,3,0.6666666666666666,3,4.555555555555556,0.7856742013183862,0.0
2020,federated learning,8,8,0.25,7,4.25,1.3469154461648507,0.125
2020,few-shot learning,22,22,0.22727272727272727,22,4.115151515151515,1.1158613978708718,0.2727272727272727
2020,graphs,73,73,0.3150684931506849,71,4.644366197183099,1.2903722425146453,0.3013698630136986
2020,imitation learning,24,24,0.375,24,4.486111111111112,1.3331161053064438,0.375
